schema_version,record_type,event_id,trace_id,run_id,occurred_at,generated_at_utc,domain,event_type,service.name,service.environment,service.instance_id,client.ip,client.user_agent,client.device_id,request.method,request.path,request.request_bytes,response.status_code,response.latency_ms,response.response_bytes,data.transaction_id,data.customer_id,data.account_id,data.channel,data.currency,data.risk_score,data.auth_method,data.login_result,data.amount,data.merchant_id,data.merchant_category,data.authorization_result,data.destination_bank,data.destination_account_token,data.transfer_result,data.balance
1.0,application_log,07607b43-de17-48aa-8ed4-6451df5374c3,c44cba8a72934aef9e6e5d6459dbc852,local-2482330003,2026-08-18T15:35:33.927+09:00,2026-08-18T06:35:33.927+00:00,finance,account_login,finance-api,simulation,sim-23,204.11.169.22,WhitelabelApp/4.8.1 Android,78f5a948e92642cf,POST,/api/auth/login,3562,200.0,165,10558,txn_14bf769ae03143a29b,cus_823863,acc_23515078,atm,KRW,7.17,otp,success,,,,,,,,
1.0,application_log,decb647f-ce20-4696-99d5-8218d3fe7f43,25e5c9311f394c03a843068d1d1e412d,local-2482330003,2026-08-18T15:35:33.986+09:00,2026-08-18T06:35:33.986+00:00,finance,card_payment,finance-api,simulation,sim-17,87.203.175.124,WhitelabelApp/4.8.1 Android,34cad912c0e24bcd,POST,/api/cards/payments,1832,200.0,306,13722,txn_c09adb3af5eb464e88,cus_459940,acc_86090353,atm,KRW,7.1,,,737000.0,mrc_58831,restaurant,approved,,,,
1.0,application_log,3490b966-bd7c-4547-a900-42518ce8c945,d2634360b826421390329f92692a7799,local-2482330003,2026-08-18T15:35:33.991+09:00,2026-08-18T06:35:33.991+00:00,finance,card_payment,finance-api,simulation,sim-08,128.141.65.121,Mozilla/5.0 Chrome/151.0 Windows/10,58a4e5cc6cc24db3,POST,/api/cards/payments,2543,200.0,214,10457,txn_3f2a58622779407094,cus_883318,acc_25608469,web,KRW,14.73,,,511000.0,mrc_78669,travel,approved,,,,
1.0,application_log,52e2c2e5-d337-4704-a015-4bf452db4dab,b190071feaa44f118ae30e885504912e,local-2482330003,2026-08-18T15:35:34.075+09:00,2026-08-18T06:35:34.075+00:00,finance,withdrawal,finance-api,simulation,sim-22,132.188.124.140,WhitelabelApp/4.8.1 Android,b3cc8cc29f6d418e,POST,/api/withdrawals,1480,200.0,271,11112,txn_48c013d3a6f1464d84,cus_460643,acc_74624046,atm,KRW,5.12,,,1458000.0,,,,,,,
1.0,application_log,ec520db9-1363-4e84-8860-7a9c2d417a31,d11bd75079074d01b8d17a450ff6b575,local-2482330003,2026-08-18T15:35:34.112+09:00,2026-08-18T06:35:34.112+00:00,finance,transfer,finance-api,simulation,sim-03,18.191.167.11,WhitelabelApp/4.8.1 iOS,379e50309aa24eb0,POST,/api/transfers,2303,200.0,191,6560,txn_9fa1016c3e1f45c590,cus_575205,acc_85657284,open_api,KRW,9.42,,,854000.0,,,,BANK-C,2f9fad292f7d46,completed,
1.0,application_log,46d0fc1e-b643-4b2a-bd48-0db84198f682,87a80f597179405c82bafb862a36275f,local-2482330003,2026-08-18T15:35:34.329+09:00,2026-08-18T06:35:34.329+00:00,finance,card_payment,finance-api,simulation,sim-17,163.140.76.36,Mozilla/5.0 Chrome/151.0 Android/15,0d59e371864544ef,POST,/api/cards/payments,1029,200.0,391,3686,txn_71b437eef4914d82b7,cus_231291,acc_11328672,mobile,KRW,7.58,,,621000.0,mrc_78139,transport,approved,,,,
1.0,application_log,5e94b98a-7770-4b0e-b9a4-867dd081c89f,f9cf2227db1949a888b2fdf7b1a7a868,local-2482330003,2026-08-18T15:35:34.529+09:00,2026-08-18T06:35:34.529+00:00,finance,transfer,finance-api,simulation,sim-14,95.182.105.239,Mozilla/5.0 Safari/605.1 iPhone,4705656804d244de,POST,/api/transfers,2443,201.0,100,11447,txn_d867a364bde74c44b3,cus_745437,acc_96484674,atm,KRW,16.12,,,535000.0,,,,BANK-A,b9b4737ef13348,completed,
1.0,application_log,44cef15a-bdd1-48d2-a849-3559f1b660ea,506d2de442c0461cb26e03edd94783d3,local-2482330003,2026-08-18T15:35:34.841+09:00,2026-08-18T06:35:34.841+00:00,finance,card_payment,finance-api,simulation,sim-17,95.8.99.246,Mozilla/5.0 Chrome/151.0 Windows/10,3756c8e8a5fa4a13,POST,/api/cards/payments,1030,201.0,110,2951,txn_83981954c2174d07b2,cus_654275,acc_48412363,atm,KRW,13.17,,,1336000.0,mrc_59688,travel,approved,,,,
1.0,application_log,94fd39fc-2817-4372-a7fe-717ac93108a3,c835e8b3f0ac445aae246a3f62121178,local-2482330003,2026-08-18T15:35:35.272+09:00,2026-08-18T06:35:35.272+00:00,finance,balance_inquiry,finance-api,simulation,sim-24,29.138.130.252,Mozilla/5.0 Safari/605.1 iPhone,277ed0a69b544afc,GET,/api/accounts/balance,581,200.0,86,17603,txn_d2ee5c7ab5264ae29e,cus_226878,acc_48775296,atm,KRW,9.59,,,590000.0,,,,,,,12845000.0
1.0,application_log,32fcc5a8-7c7d-48ed-9c7e-78d9c55ff28c,fc24c6157b4a4fd481f99b0fb5d2a97e,local-2482330003,2026-08-18T15:35:35.356+09:00,2026-08-18T06:35:35.356+00:00,finance,card_payment,finance-api,simulation,sim-08,136.178.227.152,Mozilla/5.0 Chrome/151.0 Windows/10,81febfb1b64b4be5,POST,/api/cards/payments,2235,200.0,121,15734,txn_fa60908a6b084c2d88,cus_478404,acc_87198958,atm,KRW,20.9,,,286000.0,mrc_49891,grocery,approved,,,,
